Start Training
| epoch   2 | 590000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.73 | ppl  2268.59
| epoch   2 | 600000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.72 | ppl  2255.86
| epoch   2 | 610000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.72 | ppl  2263.75
| epoch   2 | 620000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.72 | ppl  2263.65
| epoch   2 | 630000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.73 | ppl  2264.30
| epoch   2 | 640000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.73 | ppl  2272.91
| epoch   2 | 650000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.73 | ppl  2280.03
| epoch   2 | 660000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  7.73 | ppl  2283.89
| epoch   2 | 670000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.74 | ppl  2287.46
| epoch   2 | 680000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.74 | ppl  2297.55
| epoch   2 | 690000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.74 | ppl  2302.40
| epoch   2 | 700000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.74 | ppl  2293.87
| epoch   2 | 710000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.74 | ppl  2297.48
| epoch   2 | 720000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.74 | ppl  2297.14
| epoch   2 | 730000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.74 | ppl  2298.25
| epoch   2 | 740000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  7.74 | ppl  2297.21
| epoch   2 | 750000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.74 | ppl  2296.14
| epoch   2 | 760000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  7.74 | ppl  2298.05
| epoch   2 | 770000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.74 | ppl  2295.04
| epoch   2 | 780000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.74 | ppl  2293.82
| epoch   2 | 790000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  7.74 | ppl  2290.27
| epoch   2 | 800000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.74 | ppl  2289.55
| epoch   2 | 810000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.74 | ppl  2287.65
| epoch   2 | 820000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.73 | ppl  2282.22
| epoch   2 | 830000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.73 | ppl  2282.58
| epoch   2 | 840000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.73 | ppl  2275.99
| epoch   2 | 850000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.73 | ppl  2276.36
| epoch   2 | 860000/1202229 batches | lr 0.01 | ms/batches 74.57 | loss  7.73 | ppl  2276.63
| epoch   2 | 870000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.72 | ppl  2257.92
| epoch   2 | 880000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.72 | ppl  2256.18
| epoch   2 | 890000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.68 | ppl  2157.16
| epoch   2 | 900000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  7.68 | ppl  2159.47
| epoch   2 | 910000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.68 | ppl  2163.98
| epoch   2 | 920000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.68 | ppl  2164.46
| epoch   2 | 930000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  7.68 | ppl  2162.95
| epoch   2 | 940000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  7.67 | ppl  2152.68
| epoch   2 | 950000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.67 | ppl  2134.34
| epoch   2 | 960000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.66 | ppl  2125.80
| epoch   2 | 970000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.66 | ppl  2114.14
| epoch   2 | 980000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  7.65 | ppl  2103.80
| epoch   2 | 990000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.65 | ppl  2107.08
| epoch   2 | 1000000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.65 | ppl  2100.74
| epoch   2 | 1010000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.65 | ppl  2096.49
| epoch   2 | 1020000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.64 | ppl  2089.92
| epoch   2 | 1030000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.64 | ppl  2083.34
| epoch   2 | 1040000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.64 | ppl  2078.83
| epoch   2 | 1050000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.64 | ppl  2073.42
| epoch   2 | 1060000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.64 | ppl  2073.39
| epoch   2 | 1070000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.64 | ppl  2071.32
| epoch   2 | 1080000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.63 | ppl  2068.92
| epoch   2 | 1090000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.63 | ppl  2067.47
| epoch   2 | 1100000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.63 | ppl  2067.50
| epoch   2 | 1110000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.64 | ppl  2069.60
| epoch   2 | 1120000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.63 | ppl  2067.88
| epoch   2 | 1130000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  7.63 | ppl  2053.02
| epoch   2 | 1140000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.63 | ppl  2054.97
| epoch   2 | 1150000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.63 | ppl  2055.20
| epoch   2 | 1160000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  7.63 | ppl  2052.01
| epoch   2 | 1170000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.63 | ppl  2050.73
| epoch   2 | 1180000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  7.62 | ppl  2045.09
| epoch   2 | 1190000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  7.62 | ppl  2041.22
| epoch   2 | 1200000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  7.62 | ppl  2035.95
End of Epoch 2
Evaluation for validation data : 0.1216776110068793
Time : 96.82092428207397
loss : 7.385835677033779
ppl : 1612.97515823082

Evaluation for TEST data : 0.13161626016260164
Time : 60.5682373046875
loss : 7.409742566497975
ppl : 1652.0010117132795
